"longitude","latitude","station_name"
"966102",-90.4006,41.5747,"LE CLAIRE L&D 14"
"966103",-101.6914,41.5697,"ARTHUR"
"966104",-102.2325,40.0714,"WRAY"
"966105",-94.3942,41.0372,"CRESTON 2 SW"
"966106",-91.2528,43.8789,"LA CROSSE MUNI AP"
"966107",-81.3106,29.0181,"DELAND 1 SSE"
"966108",-91.7167,41.8833,"CEDAR RAPIDS MUNI AP"
"966109",-100.4444,47.4825,"MC CLUSKY"
"966110",-101.0611,40.1739,"TRENTON DAM"
"966111",-91.8872,39.9714,"STEFFENVILLE"
"966112",-104.1906,35.4072,"CONCHAS DAM"
"966113",-92.0939,43.3894,"CRESCO 1 NE"
"966114",-102.2706,40.9867,"JULESBURG"
"966115",-91.7953,43.3042,"DECORAH"
"966116",-91.4281,39.9058,"QUINCY DAM 21"
"966117",-92.2389,34.7272,"LITTLE ROCK AP ADAMS FLD"
"966118",-99.91,38.4478,"NESS CITY"
"966119",-101.0689,39.3925,"COLBY 1SW"
"966120",-100.6203,40.2156,"MC COOK"
"966121",-89.5308,34.3725,"UNIVERSITY"
"966122",-116.7067,33.7572,"IDYLLWILD FIRE DEPT"
"966123",-91.6719,44.5647,"MONDOVI"
"966124",-118.0836,34.6294,"PALMDALE AP"
"966125",-92.9244,42.0647,"MARSHALLTOWN"
"966126",-109.5531,40.4269,"VERNAL 2SW"
"966127",-89.7667,43.6089,"WISCONSIN DELLS"
"966128",-92.2617,37.1542,"MTN GROVE 2 N"
"966129",-91.7556,33.6361,"MONTICELLO MUNI AP"
"966130",-76.9003,39.0847,"LAUREL 3 W"
"966131",-98.3036,39.8775,"BURR OAK 1N"
"966132",-99.8278,40.1306,"BEAVER CITY"
"966133",-112.4208,34.6517,"PRESCOTT LOVE FLD"
"966134",-105.9392,37.1742,"MANASSA"
"966135",-100.7494,41.0569,"NORTH PLATTE EXP FARM"
"966136",-107.3172,39.5181,"GLENWOOD SPGS #2"
"966137",-94.3736,37.8394,"NEVADA WTP"
"966138",-92.4917,43.9042,"ROCHESTER INTL AP"
"966139",-106.3083,37.6908,"DEL NORTE 3ENE"
"966140",-88.7108,40.7394,"CHENOA"
"966141",-104.4983,38.29,"PUEBLO MEM AP"
"966142",-95.0192,40.7244,"CLARINDA"
"966143",-102.9297,38.0633,"JOHN MARTIN DAM"
"966144",-103.0822,40.4897,"LEROY 9 WSW"
"966145",-90.7964,35.2547,"WYNNE"
"966146",-89.3586,38.3431,"NASHVILLE 1 E"
"966147",-92.0189,34.2256,"PINE BLUFF"
"966148",-91.4878,44.8664,"EAU CLAIRE RGNL AP"
"966149",-95.8031,38.6361,"OSAGE CITY"
"966150",-90.7847,39.1506,"ELSBERRY 1 S"
"966151",-92.8236,33.59,"CAMDEN 1"
"966152",-89.6231,36.8775,"SIKESTON PWR STN"
"966153",-99.0133,40.7258,"KEARNEY 4 NE"
"966154",-90.7036,42.3978,"DUBUQUE RGNL AP"
"966155",-100.2389,39.0669,"QUINTER"
"966156",-97.3278,41.4639,"COLUMBUS 3 NE"
"966157",-122.9033,46.9733,"OLYMPIA AP"
"966158",-93.7158,40.2472,"SPICKARD 7 W"
"966159",-88.8456,35.6214,"JACKSON EXP STN"
"966160",-97.7644,41.4514,"GENOA 2 W"
"966161",-119.6369,36.3158,"HANFORD 1 S"
"966162",-121.9356,47.1414,"MUD MTN DAM"
"966163",-96.1897,38.3306,"EMPORIA MUNI AP"
"966164",-99.7231,38.7978,"CEDAR BLUFF DAM"
"966165",-110.0839,34.5081,"SNOWFLAKE"
"966166",-109.6436,44.8675,"CRANDALL CREEK"
"966167",-90.5169,38.8147,"ST CHARLES ELM POINT"
"966168",-97.1669,40.0739,"FAIRBURY 5S"
"966169",-112.3964,47.4931,"AUGUSTA"
"966170",-104.4936,41.6264,"PHILLIPS"
"966171",-95.6292,43.0864,"PRIMGHAR"
"966172",-149.0992,61.5889,"PALMER JOB CORPS"
"966173",-92.5808,38.3486,"ELDON"
"966174",-98.6564,42.4594,"O'NEILL"
"966175",-91.0986,43.2117,"LYNXVILLE DAM 9"
"966176",-89.0711,33.1356,"LOUISVILLE"
"966177",-100.2875,45.9042,"POLLOCK"
"966178",-86.3164,41.7072,"SOUTH BEND MICHIANA RGNL AP"
"966179",-106.38,48.9989,"OPHEIM 10 N"
"966180",-85.7464,32.0142,"UNION SPRINGS 9 S"
"966181",-93.2289,44.8831,"MINNEAPOLIS/ST PAUL AP"
"966182",-85.9878,34.0219,"GADSDEN"
"966183",-90.3817,32.9028,"YAZOO CITY 5 NNE"
"966184",-107,36.9358,"DULCE"
"966185",-105.8322,40.2669,"GRAND LAKE 1 NW"
"966186",-123.2058,46.1081,"CLATSKANIE"
"966187",-91.9481,33.1111,"CROSSETT 2 SSE"
"966188",-89.6839,40.6675,"PEORIA GTR PEORIA AP"
"966189",-93.5264,44.0708,"WASECA EXP STN"
"966190",-102.6361,41.1489,"LODGEPOLE"
"966191",-87.8156,42.5608,"KENOSHA"
"966192",-120.1428,39.1678,"TAHOE CITY"
"966193",-87.9336,41.995,"CHICAGO OHARE INTL AP"
"966194",-90.1814,43.2119,"LONE ROCK TRI CO AP"
"966195",-88.2403,40.0839,"URBANA"
"966196",-112.1456,37.7064,"BRYCE CANYON AP"
"966197",-88.6244,39.1181,"EFFINGHAM 3SW"
"966198",-91.1253,40.7833,"BURLINGTON MUNI AP"
"966199",-111.6433,38.4058,"LOA"
"966200",-108.5931,37.3444,"CORTEZ"
"966201",-94.2428,40.7053,"MT AYR"
"966202",-95.8992,41.3103,"OMAHA EPPLEY AIRFIELD"
"966203",-87.6353,34.2314,"HALEYVILLE"
